Start station number,Start station,End station number,End station,Bike model,Date,Total_duration_min,weather_code,Weather Description,real_temperature_C,feels_like_temperature_C,wind_speed_10m,humidity_percentage,Day_of_Month,Day_of_Week,Hour_of_Day,is_Weekend,Time_of_Day,Day_of_Week_Name,is_Weekend_Name
959,"Milroy Walk, South Bank",1186,"Belvedere Road 1, South Bank",CLASSIC,2023-08-07 18:00:00,1.6094379124341003,13.493999,,0.595959595959596,0.5554082462772272,0.7067460174828909,0.3034112987439276,7,1,18,0,Evening,Monday,Weekday
1021,"Bouverie Street, Temple",200203,"King Edward Street, St Pauls",CLASSIC,2023-08-30 12:00:00,2.0794415416798357,16.418526,,0.558922558922559,0.4903615228039288,0.7335336988421662,0.22539367135667265,30,3,12,0,Afternoon,Wednesday,Weekday
200142,"Hammersmith Road, Hammersmith",300101,"Little Brook Green, Brook Green",CLASSIC,2023-08-08 15:00:00,1.6094379124341003,21.028437,,0.47138047138047146,0.45717886168743077,0.49730078727831784,0.7540751618005465,8,2,15,0,Afternoon,Tuesday,Weekday
1074,"Newgate Street , St. Paul's",1011,"Argyle Street, Kings Cross",CLASSIC,2023-08-31 11:00:00,2.302585092994046,6.130579,,0.3804713804713806,0.44831452664974764,0.2521283664705072,0.6094566761852603,31,4,11,0,Morning,Thursday,Weekday
200223,"Ashmole Estate, Oval",300240,"Lincoln's Inn Fields, Holborn",CLASSIC,2023-08-29 08:00:00,3.091042453358316,7.628263,,0.35016835016835035,0.40783465355384657,0.5804306091569141,0.6357371446795147,29,2,8,0,Morning,Tuesday,Weekday
1126,"North Audley Street, Mayfair",1177,"Seville Street, Knightsbridge",PBSC_EBIKE,2023-08-04 11:00:00,2.1972245773362196,13.276144,,0.6296296296296298,0.6208397213450296,0.8458662160023446,0.41258000082615875,4,5,11,0,Morning,Friday,Weekday
3442,"Abingdon Villas, Kensington",2695,"Cadogan Gardens, Chelsea",CLASSIC,2023-08-15 06:00:00,2.4849066497880004,11.792404,,0.22558922558922556,0.28336725815412017,0.5273645661424454,0.8991648244656728,15,2,6,0,Morning,Tuesday,Weekday
200033,"Philpot Street, Whitechapel",975,"Theobald's Road , Holborn",PBSC_EBIKE,2023-08-15 09:00:00,3.044522437723423,16.203999,,0.595959595959596,0.5617663498212866,0.6715654636034744,0.42233098499899835,15,2,9,0,Morning,Tuesday,Weekday
300053,"Stephendale Road, Sands End",300014,"Falcon Road, Clapham Junction",CLASSIC,2023-08-11 06:00:00,2.4849066497880004,18.328207,,0.6161616835016834,0.6649412152063152,0.4664853939988116,0.821963211057381,11,5,6,0,Morning,Friday,Weekday
200101,"Monument Street, Monument",1095,"LSBU (Borough Road), Elephant & Castle",CLASSIC,2023-08-29 19:00:00,2.3978952727983707,15.03835,,0.47811447811447816,0.44714499721096107,0.45358478504443767,0.4435574044931493,29,2,19,0,Evening,Tuesday,Weekday
200071,"Hoxton Street, Hoxton",300024,"Dunston Road , Haggerston",CLASSIC,2023-08-12 16:00:00,2.639057329615259,30.037897,,0.6868686868686869,0.5433137176587461,0.4664853939988116,0.40049818267260606,12,6,16,1,Afternoon,Saturday,Weekend
300079,"London Street, Paddington",200094,"St. Bride Street, Holborn",CLASSIC,2023-08-08 07:00:00,3.2188758248682006,12.397806,,0.23905730639730638,0.2672789729095503,0.5514864738434505,0.7476182417651728,8,2,7,0,Morning,Tuesday,Weekday
300052,"Parsons Green Station, Parsons Green",200062,"William Morris Way, Sands End",CLASSIC,2023-08-04 06:00:00,2.0794415416798357,14.264361,,0.2861952861952862,0.31574319118097977,0.8744264557992089,0.815066756744632,4,5,6,0,Morning,Friday,Weekday
200256,"Sutton Street, Shadwell",1102,"Leman Street, Aldgate",CLASSIC,2023-08-21 07:00:00,1.791759469228055,11.384198,,0.3164983164983166,0.40040093141453487,0.5121561078188862,0.9607457105254859,21,1,7,0,Morning,Monday,Weekday
300231,"Lambeth Palace Road, Waterloo",1200,"Ontario Street, Elephant & Castle",CLASSIC,2023-08-22 17:00:00,1.791759469228055,17.163355,,0.9427609427609427,0.8478710524916355,0.6231117510453087,0.1097725264870526,22,2,17,0,Evening,Tuesday,Weekday
200025,"London Fields, Hackney Central",300092,"Hertford Road, De Beauvoir Town",CLASSIC,2023-08-28 22:00:00,2.302585092994046,7.2,,0.2087542087542088,0.27368618164167463,0.8293294135984904,0.7267608398926347,28,1,22,0,Night,Monday,Weekday
3444,"Penywern Road, Earl's Court",1094,"Wright's Lane, Kensington",CLASSIC,2023-08-03 16:00:00,1.9459101490553132,13.608762,,0.6835017508417509,0.6041756947422374,0.8987061852428383,0.12959394292308324,3,4,16,0,Afternoon,Thursday,Weekday
200196,"Simpson Street, Clapham Junction",200201,"Battersea Church Road, Battersea",PBSC_EBIKE,2023-08-29 12:00:00,1.9459101490553132,11.503113,,0.6195286195286196,0.5518191548702955,0.5766801600341721,0.11905386155976128,29,2,12,0,Afternoon,Tuesday,Weekday
